"country","costOfLivingLC","NumbeoCoLPlusRent2023"
"India",423,14.6
"China",752,26.6
"United States",1951,61
"Indonesia",548,20.5
"Pakistan",370,10.7
"Nigeria",916,20
"Brazil",601,23.9
"Bangladesh",521,15.1
"Russia",656,21.3
"Ethiopia",574,30.3
"Mexico",678,29.1
"Japan",1370,36.9
"Philippines",601,23.1
"Egypt",449,13.1
"DR Congo",748,
"Vietnam",639,23.2
"Iran",668,20.1
"Turkey",447,18.2
"Germany",1414,46.5
"Thailand",831,26.2
"Tanzania",760,19.4
"United Kingdom",1929,48.1
"France",1519,47.4
"South Africa",974,23.8
"Italy",1359,41.3
"Kenya",654,18.5
"Myanmar",864,25.8
"Colombia",574,18.3
"South Korea",1154,44.5
"Uganda",604,20.3
"Sudan",517,
"Spain",1260,36.1
"Iraq",710,21.3
"Algeria",431,16.9
"Argentina",494,19.3
"Afghanistan",354,
"Poland",882,32.3
"Canada",1701,51.7
"Morocco",644,19.4
"Ukraine",542,20.5
"Angola",896,
"Saudi Arabia",952,31.9
"Uzbekistan",529,19.4
"Yemen",559,34.1
"Mozambique",1006,
"Ghana",701,24.4
"Peru",630,22.6
"Malaysia",652,21.3
"Nepal",439,15.3
"Madagascar",555,
"Ivory Coast",1010,30.5
"Venezuela",657,25
"Cameroon",688,30.2
"Niger",950,
"Australia",1944,58
"North Korea",1540,
"Syria",435,15.2
"Mali",560,
"Taiwan",1057,34.9
"Burkina Faso",799,
"Sri Lanka",428,20.8
"Malawi",666,
"Zambia",676,
"Kazakhstan",468,25.4
"Chile",905,31.6
"Romania",652,24.8
"Chad",540,
"Somalia",811,17.6
"Ecuador",756,22.3
"Guatemala",857,26.7
"Senegal",1144,34.7
"Netherlands",1778,50.9
"Cambodia",692,27.5
"Zimbabwe",935,25.6
"Guinea",877,
"Rwanda",633,
"Benin",731,
"Burundi",560,
"Bolivia",750,20
"Tunisia",424,16.7
"Haiti",531,
"Belgium",1495,45.2
"Dominican Republic",711,28.2
"Jordan",850,27.6
"South Sudan",519,
"Cuba",880,36.2
"Honduras",765,24.6
"Sweden",1515,42
"Papua New Guinea",530,
"Czech Republic",1014,36.8
"Azerbaijan",513,20
"Tajikistan",450,
"Greece",1008,34
"Portugal",1038,34.6
"Hungary",817,31.2
"United Arab Emirates",1576,46.8
"Belarus",504,23.4
"Israel",1774,50.1
"Togo",669,
"Sierra Leone",745,
"Austria",1617,47.2
"Switzerland",2497,85.6
"Laos",888,
"Hong Kong",,67
"Nicaragua",633,22.3
"Serbia",711,27.9
"Libya",560,14.9
"Paraguay",546,19.9
"Kyrgyzstan",430,21
"Bulgaria",654,25.7
"Turkmenistan",1141,
"El Salvador",816,29.1
"Singapore",2169,89.8
"Denmark",1837,56.2
"Central African Republic",538,
"Slovakia",990,32
"Finland",1536,46.8
"Liberia",544,
"Norway",2074,56.4
"Palestine",937,27.7
"New Zealand",1782,51.5
"Costa Rica",852,35.3
"Lebanon",1411,36.1
"Ireland",2316,57.2
"Mauritania",781,
"Oman",1086,33.1
"Panama",1092,35.1
"Kuwait",1326,36.3
"Croatia",1001,30.9
"Eritrea",538,
"Georgia",538,30.5
"Mongolia",603,22.4
"Uruguay",929,39.7
"Moldova",537,23.1
"Puerto Rico",,47.5
"Bosnia and Herzegovina",599,
"Gambia",520,
"Albania",608,25.7
"Jamaica",829,35.2
"Armenia",592,34.2
"Qatar",1856,52.6
"Botswana",666,20
"Lithuania",869,34.3
"Namibia",921,21.5
"Gabon",587,
"Lesotho",694,
"Guinea-Bissau",712,
"Slovenia",1175,35.5
"North Macedonia",553,19.8
"Latvia",938,32
"Equatorial Guinea",1185,
"Trinidad and Tobago",979,
"Bahrain",1165,40.5
"Estonia",1040,37
"Mauritius",651,26.8
"Cyprus",1266,44.4
"Eswatini",711,
"Djibouti",548,
"Fiji",773,25.6
"Comoros",589,
"Guyana",803,30.5
"Bhutan",569,
"Solomon Islands",1222,
"Macau",,49.6
"Luxembourg",2163,59.3
"Suriname",714,
"Montenegro",720,29.7
"Cape Verde",797,
"Malta",1519,43.7
"Maldives",1288,39.9
"Brunei",1152,36
"Belize",889,31.2
"Bahamas",1715,68.5
"Iceland",2207,64.7
"Vanuatu",1829,
"Barbados",1258,53.8
"Sao Tome and Principe",880,
"Samoa",1109,
"Curacao",1222,
"Saint Lucia",1153,
"Kiribati",511,
"Grenada",1128,
"Jersey",,69.6
"Tonga",1035,
"Seychelles",1725,
"Antigua and Barbuda",1465,
"Andorra",1232,
"Dominica",856,
"Cayman Islands",2844,98.5
"Bermuda",,118.2
"Guernsey",,60.5
"Saint Kitts and Nevis",1145,
"Marshall Islands",1464,
"Liechtenstein",2306,
"Monaco",3743,
"San Marino",1168,
"Palau",1040,
"Nauru",584,
"Tuvalu",608,